,tot_debt_tot_equity_class,zacks_x_sector_desc,straddle_pnl,quarter_with_ticker
177,low_debt/eq,Computer and Technology,-545.8,Q4 2022ABNB
205,low_debt/eq,Medical,-387.85,Q4 2017ABT
206,low_debt/eq,Medical,543.64,Q1 2018ABT
207,low_debt/eq,Medical,0.0,Q2 2018ABT
208,low_debt/eq,Medical,492.13,Q3 2018ABT
209,low_debt/eq,Medical,211.92,Q4 2018ABT
210,low_debt/eq,Medical,-532.63,Q1 2019ABT
211,low_debt/eq,Medical,-165.99,Q2 2019ABT
212,low_debt/eq,Medical,575.16,Q3 2019ABT
213,low_debt/eq,Medical,-62.38,Q4 2019ABT
214,low_debt/eq,Medical,-295.1,Q1 2020ABT
215,low_debt/eq,Medical,524.0,Q2 2020ABT
216,low_debt/eq,Medical,237.33,Q3 2020ABT
217,low_debt/eq,Medical,281.55,Q4 2020ABT
218,low_debt/eq,Medical,517.24,Q2 2021ABT
219,low_debt/eq,Medical,-323.19,Q3 2021ABT
220,low_debt/eq,Medical,284.53,Q4 2021ABT
221,low_debt/eq,Medical,137.2,Q1 2022ABT
222,low_debt/eq,Medical,323.61,Q2 2022ABT
223,low_debt/eq,Medical,-866.85,Q3 2022ABT
224,low_debt/eq,Medical,318.53,Q4 2022ABT
281,high_debt/eq,Consumer Staples,-237.62,Q1 2022ACI
283,high_debt/eq,Consumer Staples,-54.05,Q3 2022ACI
293,low_debt/eq,Construction,83.33,Q3 2018ACM
297,low_debt/eq,Construction,397.06,Q3 2019ACM
301,low_debt/eq,Construction,320.31,Q3 2020ACM
304,low_debt/eq,Construction,145.99,Q3 2021ACM
308,low_debt/eq,Construction,409.09,Q3 2022ACM
319,low_debt/eq,Computer and Technology,-287.03,Q1 2019ADBE
320,low_debt/eq,Computer and Technology,538.49,Q2 2019ADBE
324,low_debt/eq,Computer and Technology,230.66,Q2 2020ADBE
325,low_debt/eq,Computer and Technology,587.03,Q3 2020ADBE
327,low_debt/eq,Computer and Technology,150.21,Q2 2021ADBE
329,low_debt/eq,Computer and Technology,-395.27,Q4 2021ADBE
331,low_debt/eq,Computer and Technology,-1902.28,Q2 2022ADBE
338,low_debt/eq,Computer and Technology,280.58,Q4 2017ADI
339,low_debt/eq,Computer and Technology,582.09,Q1 2018ADI
340,low_debt/eq,Computer and Technology,358.11,Q2 2018ADI
341,low_debt/eq,Computer and Technology,-19.61,Q3 2018ADI
342,low_debt/eq,Computer and Technology,121.39,Q4 2018ADI
343,low_debt/eq,Computer and Technology,363.64,Q1 2019ADI
344,low_debt/eq,Computer and Technology,486.34,Q2 2019ADI
345,low_debt/eq,Computer and Technology,460.67,Q3 2019ADI
346,low_debt/eq,Computer and Technology,-284.81,Q4 2019ADI
347,low_debt/eq,Computer and Technology,-1103.77,Q1 2020ADI
348,low_debt/eq,Computer and Technology,417.14,Q2 2020ADI
349,low_debt/eq,Computer and Technology,-364.71,Q3 2020ADI
350,low_debt/eq,Computer and Technology,-189.32,Q1 2021ADI
351,low_debt/eq,Computer and Technology,447.06,Q2 2021ADI
352,low_debt/eq,Computer and Technology,410.71,Q3 2021ADI
353,low_debt/eq,Computer and Technology,71.43,Q4 2021ADI
354,low_debt/eq,Computer and Technology,58.18,Q1 2022ADI
355,low_debt/eq,Computer and Technology,-518.66,Q2 2022ADI
356,low_debt/eq,Computer and Technology,-484.85,Q3 2022ADI
357,low_debt/eq,Computer and Technology,-1112.84,Q4 2022ADI
363,low_debt/eq,Consumer Staples,545.95,Q1 2018ADM
364,low_debt/eq,Consumer Staples,459.61,Q2 2018ADM
365,low_debt/eq,Consumer Staples,376.47,Q3 2018ADM
366,low_debt/eq,Consumer Staples,-821.92,Q4 2018ADM
368,low_debt/eq,Consumer Staples,587.36,Q2 2019ADM
369,low_debt/eq,Consumer Staples,-22.44,Q3 2019ADM
370,low_debt/eq,Consumer Staples,-488.6,Q4 2019ADM
371,low_debt/eq,Consumer Staples,-1348.24,Q1 2020ADM
372,low_debt/eq,Consumer Staples,671.64,Q2 2020ADM
374,low_debt/eq,Consumer Staples,372.09,Q4 2020ADM
375,low_debt/eq,Consumer Staples,240.51,Q2 2021ADM
376,low_debt/eq,Consumer Staples,131.87,Q3 2021ADM
377,low_debt/eq,Consumer Staples,368.42,Q4 2021ADM
378,low_debt/eq,Consumer Staples,295.7,Q1 2022ADM
379,low_debt/eq,Consumer Staples,-117.19,Q2 2022ADM
380,low_debt/eq,Consumer Staples,258.82,Q3 2022ADM
381,low_debt/eq,Consumer Staples,560.61,Q4 2022ADM
387,low_debt/eq,Business Services,394.87,Q4 2017ADP
388,low_debt/eq,Business Services,232.95,Q1 2018ADP
389,low_debt/eq,Business Services,512.82,Q2 2018ADP
391,low_debt/eq,Business Services,-32.11,Q4 2018ADP
392,low_debt/eq,Business Services,-309.01,Q1 2019ADP
393,low_debt/eq,Business Services,526.92,Q2 2019ADP
394,good debt/eq,Business Services,578.74,Q3 2019ADP
395,low_debt/eq,Business Services,-126.7,Q4 2019ADP
396,low_debt/eq,Business Services,329.75,Q1 2020ADP
397,low_debt/eq,Business Services,-1004.88,Q2 2020ADP
398,low_debt/eq,Business Services,-848.21,Q3 2020ADP
399,low_debt/eq,Business Services,237.74,Q4 2020ADP
400,low_debt/eq,Business Services,673.47,Q2 2021ADP
401,low_debt/eq,Business Services,535.5,Q3 2021ADP
402,low_debt/eq,Business Services,-805.8,Q4 2021ADP
403,low_debt/eq,Business Services,339.91,Q1 2022ADP
404,low_debt/eq,Business Services,-925.41,Q2 2022ADP
405,good debt/eq,Business Services,540.77,Q3 2022ADP
406,good debt/eq,Business Services,-381.87,Q4 2022ADP
411,high_debt/eq,Computer and Technology,-894.91,Q4 2017ADSK
414,low_debt/eq,Computer and Technology,137.41,Q3 2018ADSK
417,low_debt/eq,Computer and Technology,286.64,Q2 2019ADSK
418,low_debt/eq,Computer and Technology,229.59,Q3 2019ADSK
420,low_debt/eq,Computer and Technology,532.1,Q1 2020ADSK
421,low_debt/eq,Computer and Technology,536.57,Q2 2020ADSK
422,high_debt/eq,Computer and Technology,37.98,Q3 2020ADSK
424,good debt/eq,Computer and Technology,-1055.45,Q2 2021ADSK
425,good debt/eq,Computer and Technology,-1093.46,Q3 2021ADSK
428,high_debt/eq,Computer and Technology,582.3,Q2 2022ADSK
429,high_debt/eq,Computer and Technology,123.76,Q3 2022ADSK
514,high_debt/eq,Retail/Wholesale,708.86,Q1 2018AEO
515,high_debt/eq,Retail/Wholesale,175.26,Q2 2018AEO
517,high_debt/eq,Retail/Wholesale,714.29,Q4 2018AEO
525,low_debt/eq,Retail/Wholesale,534.35,Q1 2021AEO
526,low_debt/eq,Retail/Wholesale,-498.93,Q2 2021AEO
527,low_debt/eq,Retail/Wholesale,465.08,Q3 2021AEO
528,low_debt/eq,Retail/Wholesale,-39.44,Q4 2021AEO
600,low_debt/eq,Business Services,126.88,Q3 2021AFRM
601,high_debt/eq,Business Services,-288.41,Q4 2021AFRM
696,low_debt/eq,Finance,-381.97,Q1 2018AIG
698,low_debt/eq,Finance,382.51,Q3 2018AIG
699,low_debt/eq,Finance,-931.3,Q4 2018AIG
700,low_debt/eq,Finance,-582.42,Q1 2019AIG
701,low_debt/eq,Finance,101.36,Q2 2019AIG
703,low_debt/eq,Finance,-511.96,Q4 2019AIG
704,low_debt/eq,Finance,130.67,Q1 2020AIG
705,low_debt/eq,Finance,-258.91,Q2 2020AIG
709,low_debt/eq,Finance,252.05,Q4 2021AIG
710,low_debt/eq,Finance,-295.08,Q1 2022AIG
711,low_debt/eq,Finance,315.79,Q2 2022AIG
712,low_debt/eq,Finance,438.1,Q3 2022AIG
713,low_debt/eq,Finance,630.14,Q4 2022AIG
720,low_debt/eq,Aerospace,319.15,Q3 2018AIR
723,low_debt/eq,Aerospace,-1580.95,Q3 2019AIR
726,low_debt/eq,Aerospace,652.63,Q3 2020AIR
760,low_debt/eq,Computer and Technology,637.38,Q4 2017AKAM
761,low_debt/eq,Computer and Technology,714.52,Q1 2018AKAM
762,low_debt/eq,Computer and Technology,226.21,Q2 2018AKAM
763,low_debt/eq,Computer and Technology,-699.52,Q3 2018AKAM
764,low_debt/eq,Computer and Technology,693.99,Q4 2018AKAM
765,low_debt/eq,Computer and Technology,592.08,Q1 2019AKAM
766,low_debt/eq,Computer and Technology,226.1,Q2 2019AKAM
767,low_debt/eq,Computer and Technology,576.51,Q3 2019AKAM
768,low_debt/eq,Computer and Technology,641.64,Q4 2019AKAM
769,low_debt/eq,Computer and Technology,254.24,Q1 2020AKAM
770,low_debt/eq,Computer and Technology,613.97,Q2 2020AKAM
771,low_debt/eq,Computer and Technology,-455.22,Q3 2020AKAM
772,low_debt/eq,Computer and Technology,-312.78,Q2 2021AKAM
773,low_debt/eq,Computer and Technology,116.2,Q3 2021AKAM
774,low_debt/eq,Computer and Technology,209.88,Q4 2021AKAM
775,low_debt/eq,Computer and Technology,-500.0,Q1 2022AKAM
776,low_debt/eq,Computer and Technology,627.59,Q2 2022AKAM
777,low_debt/eq,Computer and Technology,331.4,Q3 2022AKAM
778,low_debt/eq,Computer and Technology,-716.28,Q4 2022AKAM
791,high_debt/eq,Transportation,-132.35,Q4 2019AL
801,high_debt/eq,Transportation,-293.1,Q4 2022AL
814,low_debt/eq,Basic Materials,261.22,Q4 2019ALB
820,low_debt/eq,Basic Materials,-2023.74,Q4 2021ALB
823,low_debt/eq,Basic Materials,-155.8,Q4 2022ALB
839,high_debt/eq,Medical,574.26,Q4 2017ALGN
840,high_debt/eq,Medical,349.68,Q1 2018ALGN
841,high_debt/eq,Medical,349.1,Q2 2018ALGN
842,high_debt/eq,Medical,-1330.36,Q3 2018ALGN
843,high_debt/eq,Medical,454.65,Q4 2018ALGN
844,low_debt/eq,Medical,770.58,Q1 2019ALGN
845,high_debt/eq,Medical,-1753.26,Q2 2019ALGN
846,high_debt/eq,Medical,-366.45,Q3 2019ALGN
847,high_debt/eq,Medical,830.04,Q4 2019ALGN
848,high_debt/eq,Medical,506.22,Q1 2020ALGN
849,high_debt/eq,Medical,97.36,Q2 2020ALGN
850,high_debt/eq,Medical,-3310.25,Q3 2020ALGN
851,high_debt/eq,Medical,-216.36,Q2 2021ALGN
852,high_debt/eq,Medical,390.92,Q3 2021ALGN
853,high_debt/eq,Medical,694.32,Q4 2021ALGN
854,high_debt/eq,Medical,-469.4,Q1 2022ALGN
855,high_debt/eq,Medical,357.37,Q2 2022ALGN
856,high_debt/eq,Medical,-515.74,Q3 2022ALGN
857,high_debt/eq,Medical,-1774.77,Q4 2022ALGN
895,low_debt/eq,Transportation,-300.0,Q3 2022ALK
929,high_debt/eq,Finance,804.35,Q1 2019ALLY
930,high_debt/eq,Finance,-1148.94,Q2 2019ALLY
931,high_debt/eq,Finance,123.08,Q3 2019ALLY
934,high_debt/eq,Finance,537.41,Q2 2020ALLY
935,high_debt/eq,Finance,438.1,Q3 2020ALLY
939,low_debt/eq,Finance,70.9,Q4 2021ALLY
940,good debt/eq,Finance,39.47,Q1 2022ALLY
942,high_debt/eq,Finance,-202.25,Q3 2022ALLY
943,high_debt/eq,Finance,-2100.0,Q4 2022ALLY
1019,low_debt/eq,Computer and Technology,294.43,Q4 2017AMAT
1027,low_debt/eq,Computer and Technology,421.36,Q4 2019AMAT
1028,low_debt/eq,Computer and Technology,120.5,Q1 2020AMAT
1034,low_debt/eq,Computer and Technology,332.93,Q4 2021AMAT
1055,low_debt/eq,Consumer Discretionary,318.4,Q2 2021AMC
1056,low_debt/eq,Consumer Discretionary,195.35,Q3 2021AMC
1084,high_debt/eq,Consumer Discretionary,-3100.0,Q4 2022AMCX
1092,good debt/eq,Computer and Technology,-105.73,Q3 2018AMD
1094,low_debt/eq,Computer and Technology,618.31,Q1 2019AMD
1095,low_debt/eq,Computer and Technology,-172.64,Q2 2019AMD
1096,low_debt/eq,Computer and Technology,725.78,Q3 2019AMD
1097,low_debt/eq,Computer and Technology,300.44,Q4 2019AMD
1098,low_debt/eq,Computer and Technology,381.45,Q1 2020AMD
1099,low_debt/eq,Computer and Technology,-528.98,Q2 2020AMD
1100,low_debt/eq,Computer and Technology,380.41,Q3 2020AMD
1101,low_debt/eq,Computer and Technology,237.99,Q4 2020AMD
1102,low_debt/eq,Computer and Technology,-365.02,Q2 2021AMD
1103,low_debt/eq,Computer and Technology,475.0,Q3 2021AMD
1104,low_debt/eq,Computer and Technology,316.08,Q4 2021AMD
1105,low_debt/eq,Computer and Technology,-33.73,Q1 2022AMD
1106,low_debt/eq,Computer and Technology,583.49,Q2 2022AMD
1107,low_debt/eq,Computer and Technology,475.1,Q3 2022AMD
1108,low_debt/eq,Computer and Technology,-734.93,Q4 2022AMD
1121,low_debt/eq,Medical,492.25,Q4 2019AMED
1137,high_debt/eq,Medical,376.68,Q1 2018AMGN
1139,high_debt/eq,Medical,362.85,Q3 2018AMGN
1140,high_debt/eq,Medical,-251.4,Q4 2018AMGN
1141,high_debt/eq,Medical,300.16,Q1 2019AMGN
1142,high_debt/eq,Medical,-686.9,Q2 2019AMGN
1143,high_debt/eq,Medical,598.08,Q3 2019AMGN
1146,high_debt/eq,Medical,-12.75,Q2 2020AMGN
1147,high_debt/eq,Medical,550.62,Q3 2020AMGN
1148,high_debt/eq,Medical,-1099.36,Q2 2021AMGN
1149,high_debt/eq,Medical,467.33,Q3 2021AMGN
1150,high_debt/eq,Medical,-576.0,Q4 2021AMGN
1151,high_debt/eq,Medical,-252.53,Q1 2022AMGN
1154,high_debt/eq,Medical,269.64,Q4 2022AMGN
1163,low_debt/eq,Medical,-472.66,Q4 2018AMN
1168,good debt/eq,Medical,-146.74,Q1 2020AMN
1173,low_debt/eq,Medical,-147.93,Q4 2021AMN
1177,low_debt/eq,Medical,653.2,Q4 2022AMN
1232,high_debt/eq,Finance,324.5,Q1 2018AMT
1233,high_debt/eq,Finance,-445.21,Q2 2018AMT
1234,high_debt/eq,Finance,-851.28,Q3 2018AMT
1235,high_debt/eq,Finance,391.81,Q4 2018AMT
1237,high_debt/eq,Finance,0.0,Q2 2019AMT
1238,high_debt/eq,Finance,626.51,Q3 2019AMT
1239,high_debt/eq,Finance,201.75,Q4 2019AMT
1240,high_debt/eq,Finance,62.5,Q1 2020AMT
1242,high_debt/eq,Finance,486.11,Q3 2020AMT
1243,high_debt/eq,Finance,580.99,Q2 2021AMT
1244,high_debt/eq,Finance,636.36,Q3 2021AMT
1277,low_debt/eq,Computer and Technology,-1262.4,Q4 2017ANET
1286,high_debt/eq,Computer and Technology,385.47,Q1 2020ANET
1287,high_debt/eq,Computer and Technology,-389.67,Q2 2020ANET
1288,high_debt/eq,Computer and Technology,-916.23,Q3 2020ANET
1289,high_debt/eq,Computer and Technology,665.45,Q2 2021ANET
1290,high_debt/eq,Computer and Technology,-1763.93,Q3 2021ANET
1291,high_debt/eq,Computer and Technology,482.76,Q4 2021ANET
1292,high_debt/eq,Computer and Technology,516.46,Q1 2022ANET
1293,high_debt/eq,Computer and Technology,537.5,Q2 2022ANET
1294,high_debt/eq,Computer and Technology,86.54,Q3 2022ANET
1295,high_debt/eq,Computer and Technology,362.98,Q4 2022ANET
1300,low_debt/eq,Retail/Wholesale,150.17,Q4 2017ANF
1302,low_debt/eq,Retail/Wholesale,-352.13,Q2 2018ANF
1303,low_debt/eq,Retail/Wholesale,-458.5,Q3 2018ANF
1304,low_debt/eq,Retail/Wholesale,-408.4,Q4 2018ANF
1311,low_debt/eq,Retail/Wholesale,611.65,Q3 2020ANF
1312,low_debt/eq,Retail/Wholesale,285.71,Q1 2021ANF
1313,low_debt/eq,Retail/Wholesale,5.81,Q2 2021ANF
1314,low_debt/eq,Retail/Wholesale,-162.68,Q3 2021ANF
1315,low_debt/eq,Retail/Wholesale,-133.72,Q4 2021ANF
1318,low_debt/eq,Retail/Wholesale,-819.15,Q3 2022ANF
1383,low_debt/eq,Oils/Energy,-302.47,Q4 2017APA
1384,low_debt/eq,Oils/Energy,-486.96,Q1 2018APA
1385,low_debt/eq,Oils/Energy,551.98,Q2 2018APA
1386,low_debt/eq,Oils/Energy,-19.61,Q3 2018APA
1387,low_debt/eq,Oils/Energy,496.75,Q4 2018APA
1388,low_debt/eq,Oils/Energy,-271.06,Q1 2019APA
1389,good debt/eq,Oils/Energy,396.69,Q2 2019APA
1390,good debt/eq,Oils/Energy,473.88,Q3 2019APA
1391,high_debt/eq,Oils/Energy,255.81,Q4 2019APA
1396,low_debt/eq,Oils/Energy,-245.21,Q3 2021APA
1398,high_debt/eq,Oils/Energy,-554.64,Q1 2022APA
1399,high_debt/eq,Oils/Energy,-1076.72,Q2 2022APA
1400,high_debt/eq,Oils/Energy,335.96,Q4 2022APA
1497,low_debt/eq,Finance,-531.25,Q1 2018APO
1499,low_debt/eq,Finance,215.69,Q3 2018APO
1500,low_debt/eq,Finance,-1342.11,Q4 2018APO
1502,low_debt/eq,Finance,-584.91,Q2 2019APO
1504,low_debt/eq,Finance,-1661.54,Q4 2019APO
1506,low_debt/eq,Finance,-589.47,Q2 2020APO
1507,low_debt/eq,Finance,337.35,Q3 2020APO
1508,low_debt/eq,Finance,466.67,Q2 2021APO
1511,low_debt/eq,Finance,230.77,Q1 2022APO
1512,low_debt/eq,Finance,285.71,Q2 2022APO
1513,high_debt/eq,Finance,-60.87,Q3 2022APO
1522,high_debt/eq,Business Services,350.79,Q4 2021APP
1601,low_debt/eq,Oils/Energy,627.74,Q4 2017ARCH
1605,low_debt/eq,Oils/Energy,297.78,Q4 2018ARCH
1615,low_debt/eq,Oils/Energy,309.92,Q4 2021ARCH
1619,low_debt/eq,Oils/Energy,-477.94,Q4 2022ARCH
1685,high_debt/eq,Consumer Staples,648.15,Q3 2018ARMK
1693,high_debt/eq,Consumer Staples,402.17,Q3 2020ARMK
1696,high_debt/eq,Consumer Staples,492.96,Q3 2021ARMK
1700,high_debt/eq,Consumer Staples,-57.97,Q3 2022ARMK
1745,low_debt/eq,Consumer Discretionary,95.53,Q4 2021ASO
1746,low_debt/eq,Consumer Discretionary,185.44,Q1 2022ASO
1747,low_debt/eq,Consumer Discretionary,-852.53,Q2 2022ASO
1748,low_debt/eq,Consumer Discretionary,-719.26,Q3 2022ASO
1785,low_debt/eq,Industrial Products,10.2,Q3 2021ATKR
1789,low_debt/eq,Industrial Products,-420.83,Q3 2022ATKR
1857,high_debt/eq,Computer and Technology,-359.38,Q1 2022AVGO
1858,high_debt/eq,Computer and Technology,21.43,Q2 2022AVGO
1917,high_debt/eq,Utilities,387.1,Q4 2019AWK
1923,high_debt/eq,Utilities,6.29,Q4 2021AWK
1927,high_debt/eq,Utilities,174.7,Q4 2022AWK
1936,low_debt/eq,Medical,121.95,Q3 2019AXNX
1965,high_debt/eq,Industrial Products,-17.12,Q3 2021AXON
1976,high_debt/eq,Finance,-1329.87,Q1 2018AXP
1977,high_debt/eq,Finance,151.99,Q2 2018AXP
1980,high_debt/eq,Finance,423.32,Q1 2019AXP
1987,high_debt/eq,Finance,-112.92,Q4 2020AXP
1990,high_debt/eq,Finance,-722.8,Q4 2021AXP
2070,low_debt/eq,Retail/Wholesale,-677.79,Q1 2018AZO
2071,low_debt/eq,Retail/Wholesale,461.02,Q2 2018AZO
2072,low_debt/eq,Retail/Wholesale,-318.66,Q3 2018AZO
2073,low_debt/eq,Retail/Wholesale,23.78,Q4 2018AZO
2074,low_debt/eq,Retail/Wholesale,-42.86,Q1 2019AZO
2076,low_debt/eq,Retail/Wholesale,-603.74,Q3 2019AZO
2079,low_debt/eq,Retail/Wholesale,499.65,Q2 2020AZO
2081,low_debt/eq,Retail/Wholesale,270.14,Q1 2021AZO
2082,low_debt/eq,Retail/Wholesale,0.75,Q2 2021AZO
2083,low_debt/eq,Retail/Wholesale,-317.42,Q3 2021AZO
2084,low_debt/eq,Retail/Wholesale,329.94,Q4 2021AZO
2085,low_debt/eq,Retail/Wholesale,278.76,Q1 2022AZO
2088,low_debt/eq,Retail/Wholesale,167.3,Q4 2022AZO
2093,high_debt/eq,Aerospace,-125.89,Q4 2017BA
2094,high_debt/eq,Aerospace,212.75,Q1 2018BA
2095,low_debt/eq,Aerospace,516.38,Q2 2018BA
2096,low_debt/eq,Aerospace,358.01,Q3 2018BA
2097,high_debt/eq,Aerospace,-480.71,Q4 2018BA
2098,high_debt/eq,Aerospace,650.94,Q1 2019BA
2099,low_debt/eq,Aerospace,50.6,Q2 2019BA
2100,low_debt/eq,Aerospace,528.32,Q3 2019BA
2101,low_debt/eq,Aerospace,370.53,Q4 2019BA
2102,low_debt/eq,Aerospace,165.65,Q1 2020BA
2103,low_debt/eq,Aerospace,345.62,Q2 2020BA
2104,low_debt/eq,Aerospace,43.58,Q3 2020BA
2105,low_debt/eq,Aerospace,-73.0,Q4 2020BA
2106,low_debt/eq,Aerospace,-260.32,Q2 2021BA
2107,low_debt/eq,Aerospace,389.44,Q3 2021BA
2108,low_debt/eq,Aerospace,-29.54,Q4 2021BA
2109,low_debt/eq,Aerospace,-325.25,Q1 2022BA
2110,low_debt/eq,Aerospace,433.24,Q2 2022BA
2111,low_debt/eq,Aerospace,-793.84,Q3 2022BA
2112,low_debt/eq,Aerospace,505.76,Q4 2022BA
2118,high_debt/eq,Finance,535.52,Q4 2017BAC
2122,high_debt/eq,Finance,-1289.94,Q4 2018BAC
2123,high_debt/eq,Finance,606.33,Q1 2019BAC
2124,high_debt/eq,Finance,463.41,Q2 2019BAC
2125,high_debt/eq,Finance,219.39,Q3 2019BAC
2126,high_debt/eq,Finance,180.67,Q4 2019BAC
2127,high_debt/eq,Finance,70.74,Q1 2020BAC
2128,high_debt/eq,Finance,385.59,Q2 2020BAC
2129,high_debt/eq,Finance,-343.28,Q3 2020BAC
2131,high_debt/eq,Finance,4.07,Q2 2021BAC
2132,high_debt/eq,Finance,-626.46,Q3 2021BAC
2133,high_debt/eq,Finance,483.7,Q4 2021BAC
2134,high_debt/eq,Finance,-8885.71,Q1 2022BAC
2187,low_debt/eq,Medical,-144.96,Q2 2018BAX
2188,low_debt/eq,Medical,-1553.72,Q3 2018BAX
2189,low_debt/eq,Medical,409.34,Q4 2018BAX
2195,low_debt/eq,Medical,-292.99,Q2 2020BAX
2198,low_debt/eq,Medical,7.63,Q3 2021BAX
2199,high_debt/eq,Medical,274.19,Q4 2021BAX
2202,high_debt/eq,Medical,-460.18,Q3 2022BAX
2203,high_debt/eq,Medical,-1505.38,Q4 2022BAX
2211,good debt/eq,Medical,406.59,Q1 2020BBIO
2238,low_debt/eq,Retail/Wholesale,-313.68,Q2 2021BBWI
2239,low_debt/eq,Retail/Wholesale,454.21,Q3 2021BBWI
2240,low_debt/eq,Retail/Wholesale,328.49,Q4 2021BBWI
2241,low_debt/eq,Retail/Wholesale,474.79,Q1 2022BBWI
2242,low_debt/eq,Retail/Wholesale,661.54,Q2 2022BBWI
2243,low_debt/eq,Retail/Wholesale,-1184.93,Q3 2022BBWI
2244,low_debt/eq,Retail/Wholesale,581.4,Q4 2022BBWI
2249,low_debt/eq,Retail/Wholesale,560.75,Q4 2017BBY
2250,low_debt/eq,Retail/Wholesale,91.07,Q1 2018BBY
2251,low_debt/eq,Retail/Wholesale,248.78,Q2 2018BBY
2252,low_debt/eq,Retail/Wholesale,569.81,Q3 2018BBY
2253,low_debt/eq,Retail/Wholesale,-759.88,Q4 2018BBY
2254,low_debt/eq,Retail/Wholesale,369.89,Q1 2019BBY
2255,low_debt/eq,Retail/Wholesale,0.88,Q2 2019BBY
2257,low_debt/eq,Retail/Wholesale,390.23,Q4 2019BBY
2258,low_debt/eq,Retail/Wholesale,269.84,Q1 2020BBY
2259,low_debt/eq,Retail/Wholesale,224.65,Q2 2020BBY
2260,low_debt/eq,Retail/Wholesale,-169.13,Q3 2020BBY
2261,low_debt/eq,Retail/Wholesale,710.32,Q1 2021BBY
2262,low_debt/eq,Retail/Wholesale,-563.05,Q2 2021BBY
